row_id,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,postal_code,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit
1,CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,500.0,2,0.0,120.0
2,CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",750.0,3,0.0,180.0
3,CA-2016-138688,2016-06-12,2016-06-16,Second Class,DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,900.0,2,0.0,250.0
4,US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,450.0,5,0.45,95.0
5,US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,600.0,2,0.2,160.0
10001,CA-2026-10001,2026-07-20,2026-07-23,Second Class,AJ-10001,Akhil Jagtap,Consumer,United States,Seattle,Washington,98101,West,OFF-PA-100001,Office Supplies,Paper,Premium Copy Paper,550.25,4,0.0,180.5
10002,CA-2026-10002,2026-07-21,2026-07-24,Standard Class,RS-10002,Rahul Sharma,Corporate,United States,Chicago,Illinois,60601,Central,TEC-PH-100002,Technology,Phones,Wireless Phone,899.99,2,0.1,250.75
10003,CA-2026-10003,2026-07-22,2026-07-25,First Class,PS-10003,Priya Singh,Home Office,United States,Dallas,Texas,75201,Central,FUR-CH-100003,Furniture,Chairs,Executive Office Chair,725.4,1,0.15,210.35
10004,CA-2026-10004,2026-07-22,2026-07-26,Standard Class,AV-10004,Aman Verma,Consumer,United States,Los Angeles,California,90001,West,TEC-AC-100004,Technology,Accessories,Wireless Mouse,149.99,3,0.05,55.25
10005,CA-2026-10005,2026-07-23,2026-07-27,Second Class,SP-10005,Sneha Patel,Corporate,United States,New York,New York,10001,East,OFF-BI-100005,Office Supplies,Binders,Premium Binder,320.6,5,0.0,95.4
